Date,Open,High,Low,Close,Adj Close,Volume
2015-05-29,309.639008,316.450989,309.639008,312.973999,278.745514,3906152
2015-06-01,314.355011,317.356995,311.877991,314.070007,279.721619,2076033
2015-06-02,314.403015,315.260986,305.303986,306.542999,273.017822,2429905
2015-06-03,306.829010,307.686005,299.350006,301.303009,268.350891,3079644
2015-06-04,302.160004,303.684998,290.156006,293.490997,261.393280,4985819
2015-06-05,294.395996,302.208008,287.964996,296.395996,263.980560,5275681
2015-06-08,297.253998,300.063995,287.250000,287.964996,256.471619,3958444
2015-06-09,282.010010,292.824005,279.152008,290.346008,258.592255,7288186
2015-06-10,290.584991,293.252014,287.441010,291.536987,259.652924,3065784
2015-06-11,291.632996,292.394989,283.153015,284.582001,253.458588,4187148
2015-06-12,283.915985,286.678009,280.247009,283.487000,252.483383,2853358
2015-06-15,283.915985,288.441010,282.058014,282.963013,252.016663,2828621
2015-06-16,282.772003,283.438995,277.246002,280.532990,249.852417,3220622
2015-06-17,289.346008,296.252991,284.153992,290.631989,258.846954,8736388
2015-06-18,289.917999,292.014008,286.678009,289.346008,257.701599,4072225
2015-06-19,291.013000,295.109985,289.726990,290.536987,258.762360,3452741
2015-06-22,294.395996,298.015991,292.489990,295.967987,263.599365,3744435
2015-06-23,296.395996,301.731995,296.110992,298.253998,265.635376,3162616
2015-06-24,299.158997,299.540009,288.584015,290.156006,258.423035,2972309
2015-06-25,289.441010,290.394012,286.963989,288.393005,256.852844,4836920
2015-06-26,288.203003,288.773987,282.963013,284.535004,253.416748,3548364
2015-06-29,280.105011,283.677002,273.816010,282.295990,251.422607,3706769
2015-06-30,282.295990,292.014008,281.295990,290.204010,258.465759,3214234
2015-07-01,290.584991,294.395996,289.059998,292.442993,260.459869,3299815
2015-07-02,292.727997,295.777008,288.869995,289.964996,258.252869,4030612
2015-07-03,291.871002,293.347992,285.391998,286.963989,255.580078,2878556
2015-07-06,281.057007,285.583008,278.199005,284.868011,253.713348,3892137
2015-07-07,287.441010,288.726990,282.105011,284.105988,253.034637,3462375
2015-07-08,280.105011,280.105011,268.480988,269.766998,240.263855,8545842
2015-07-09,270.101013,273.816010,266.385010,267.243011,238.015915,6523026
2015-07-10,269.528992,271.053986,265.575012,267.623993,238.355240,4220890
2015-07-13,270.101013,272.196991,265.813995,271.006012,241.367355,3607354
2015-07-14,271.291992,273.149994,267.243011,267.862000,238.567200,3600929
2015-07-15,269.338989,271.338989,265.908997,267.147003,237.930405,3862335
2015-07-16,271.625000,272.959015,266.862000,267.528015,238.269745,6626578
2015-07-17,268.671997,272.816010,266.765991,270.625000,241.028046,6769955
2015-07-20,271.529999,274.101990,269.623993,270.148010,240.603210,3918945
2015-07-21,270.671997,270.671997,260.907013,261.717010,233.094238,5347945
2015-07-22,258.429993,267.718994,256.000000,267.147003,237.930405,6204073
2015-07-23,261.049988,261.479004,256.571991,257.144012,236.091385,7306551
2015-07-24,256.953003,258.811005,251.712997,252.522995,231.848709,3999300
2015-07-27,250.570007,250.759995,238.231995,238.899002,219.340118,8027887
2015-07-28,239.136993,240.518005,234.753998,237.470001,218.028122,5813253
2015-07-29,239.136993,242.613998,237.613007,238.707993,219.164749,4202101
2015-07-30,240.947006,241.042007,235.850006,236.421997,217.065918,5425510
2015-07-31,238.184006,240.757004,233.419998,235.231003,215.972427,9287076
2015-08-03,235.231003,238.945999,233.705994,236.231003,216.890564,3732628
2015-08-04,237.897995,247.473007,234.421005,244.186005,224.194260,10205672
2015-08-05,247.712006,255.809998,247.664001,249.903000,229.443222,8374900
2015-08-06,249.949997,252.856003,244.139008,248.664001,228.305649,6693077
2015-08-07,248.664001,252.046005,247.854004,249.664993,229.224701,3979733
2015-08-10,250.473999,252.475006,247.712006,248.807007,228.436935,3569859
2015-08-11,247.664001,247.712006,234.087006,235.134995,215.884277,9265150
2015-08-12,242.376007,245.710999,234.468002,237.279007,217.852768,15925370
2015-08-13,241.376007,241.899994,221.320999,222.559006,204.337906,14447392
2015-08-14,223.179001,227.895004,218.177002,226.369995,207.836884,9515041
2015-08-17,227.227997,236.755005,223.130997,235.087997,215.841125,8947333
2015-08-18,236.373993,242.852997,234.945007,240.423004,220.739349,10291473
2015-08-19,238.279007,241.376007,235.087997,237.994003,218.509216,4517602
2015-08-20,235.992996,236.660004,229.132996,230.134003,211.292725,4855837
2015-08-21,227.227997,227.227997,220.559006,226.037003,207.531143,5507337
2015-08-24,218.462997,218.462997,193.072006,196.358994,180.282898,12292472
2015-08-25,200.074997,207.600998,190.643005,203.362000,186.712570,14911709
2015-08-26,202.932999,209.315994,199.074005,205.457993,188.636963,8750249
2015-08-27,209.602005,218.938995,204.934006,215.699997,198.040451,14932908
2015-08-28,221.606995,223.511993,212.651001,218.128998,200.270569,9852930
2015-08-31,214.651993,217.891006,213.080002,214.746994,197.165451,6069187
2015-09-01,211.507996,215.557007,202.981003,206.076996,189.205292,6796473
2015-09-02,208.554001,215.223007,200.360992,209.126007,192.004669,9351765
2015-09-03,212.841003,221.701996,211.602997,218.891006,200.970200,7434373
2015-09-04,218.080994,218.080994,206.744003,208.554001,191.479492,7588508
2015-09-07,210.792999,213.412994,204.981003,205.647995,188.811417,5178636
2015-09-08,208.268005,221.988007,207.029999,217.938995,200.096130,8645536
2015-09-09,224.845993,230.371994,221.367996,228.179993,209.498703,9261748
2015-09-10,225.179001,231.514999,220.654007,228.847000,210.111069,7612145
2015-09-11,231.848007,231.990997,219.987000,221.940002,203.769562,6202695
2015-09-14,222.940002,231.753006,222.940002,230.371994,211.511230,7514289
2015-09-15,230.324005,232.324997,217.699997,217.796005,199.964859,9602085
2015-09-16,221.035004,222.320999,216.365997,219.606003,201.626663,7548367
2015-09-18,222.940002,224.274002,216.651993,217.319000,199.526886,8008200
2015-09-21,215.604004,218.462997,212.556000,215.746994,198.083588,5641030
2015-09-22,217.223999,218.080994,208.839996,209.697006,192.528915,5351406
2015-09-23,204.266998,213.460999,203.886002,210.554993,193.316650,7551488
2015-09-24,209.602005,210.317001,204.171005,204.981003,188.199020,5913928
2015-09-28,207.410995,208.125000,198.645996,199.360001,183.038223,6014892
2015-09-29,195.311005,196.931000,190.261993,191.880997,176.171524,12685201
2015-09-30,197.121002,204.266998,195.787003,202.552002,185.968887,9752831
2015-10-01,204.837997,205.315002,200.313004,202.218002,185.662231,5114699
2015-10-05,204.742996,215.128006,204.076004,214.365997,196.815659,8524225
2015-10-06,216.938004,218.177002,212.602997,216.748001,199.002625,7724927
2015-10-07,214.365997,226.464996,213.031998,225.608002,207.137268,10326577
2015-10-08,226.656006,231.229004,225.035995,229.419006,210.636261,9357782
2015-10-09,230.942993,241.042007,230.753006,239.231995,219.645859,11041924
2015-10-12,243.042999,249.569000,237.994003,238.994003,219.427338,11094435
2015-10-13,236.279007,236.897995,231.753006,233.419998,214.309677,6110077
2015-10-14,232.468002,241.042007,232.039001,236.612000,217.240356,6602225
2015-10-15,237.373993,245.044006,236.326004,243.186005,223.276138,7355704
2015-10-16,243.804993,244.567001,236.660004,241.042007,221.307678,5590827
2015-10-19,241.138000,242.089996,235.087997,236.660004,217.284424,4700520
2015-10-20,235.373993,237.136002,228.656998,229.419006,210.636261,5508877
2015-10-21,230.276001,234.802002,226.990005,232.848999,213.785446,8441160
2015-10-23,235.707001,239.709000,232.610992,234.373001,215.184662,5254128
2015-10-26,235.658997,239.660995,234.610992,237.850998,218.377914,4395791
2015-10-27,237.089005,238.470001,232.514999,234.326004,215.141525,3572503
2015-10-28,232.944000,236.755005,232.468002,235.468994,216.190948,3607475
2015-10-29,234.658997,239.565994,233.134995,235.897995,216.584824,4816684
2015-10-30,236.660004,242.757004,233.563004,234.945007,215.709839,6479503
2015-11-02,234.850006,234.945007,225.132004,227.608994,208.974442,5153151
2015-11-03,230.276001,231.514999,223.798004,224.559998,206.175079,4715646
2015-11-04,227.847000,228.656998,222.796997,224.274002,205.912491,5102509
2015-11-05,224.845993,224.845993,213.699005,214.746994,197.165451,9238270
2015-11-06,208.554001,211.365005,204.934006,209.839996,192.660202,10397801
2015-11-09,204.837997,213.794006,202.598999,211.746002,194.410156,6583811
2015-11-10,210.363998,211.746002,206.886993,207.744003,190.735809,4761452
2015-11-13,208.363998,213.031998,206.363007,212.126999,194.759964,4646588
2015-11-16,212.317001,220.940002,209.792999,219.701004,201.713882,7266779
2015-11-17,220.940002,224.608002,219.987000,223.464005,205.168808,5500940
2015-11-18,223.035995,223.893005,214.556000,215.175995,197.559326,5545717
