Date,Open,High,Low,Close,Adj Close,Volume
2015-03-04,323.199005,329.075012,320.720001,322.510010,311.006470,3626477
2015-03-05,322.648010,323.106995,315.898987,319.433990,308.040192,3807730
2015-03-09,318.377991,318.377991,311.354004,315.347992,304.099976,3753392
2015-03-10,314.062988,351.019989,312.868988,337.843994,325.793579,12658557
2015-03-11,339.726013,361.761993,332.609985,357.675995,344.918182,14054834
2015-03-12,357.584991,367.179993,355.381012,365.251007,352.223022,18072343
2015-03-13,366.307007,369.750000,357.539001,367.501007,354.392761,12420747
2015-03-16,367.179993,367.179993,354.600006,356.619995,343.899872,15318303
2015-03-17,360.109985,360.292999,347.989990,354.921997,342.262390,12916025
2015-03-18,354.325012,358.364990,350.285004,350.973999,338.455200,4689204
2015-03-19,351.661987,353.453003,348.678009,350.697998,338.189087,4550698
2015-03-20,349.825989,356.070007,346.704010,349.136993,336.683746,7122869
2015-03-23,352.580994,357.997986,347.071014,351.891998,339.340485,3481477
2015-03-24,350.559998,364.058014,350.377014,361.625000,348.726349,7952673
2015-03-25,355.334991,364.929993,355.289001,362.679993,349.743683,11165033
2015-03-26,358.089996,370.484985,358.089996,366.950012,353.861389,12423397
2015-03-27,368.190002,371.403015,340.735992,345.694000,333.363586,9184840
2015-03-30,348.907990,360.752014,346.704010,357.539001,344.786102,5071405
2015-03-31,357.217010,363.322998,353.498993,361.119995,348.239349,6586205
2015-04-01,361.119995,371.725006,360.890015,369.382996,356.207642,5984548
2015-04-06,369.382996,375.627014,365.847992,368.006012,354.879730,4736244
2015-04-07,369.108002,376.453003,363.782013,371.632996,358.377350,4605382
2015-04-08,373.699005,388.252014,373.699005,384.854004,371.126770,6274995
2015-04-09,384.899994,386.093994,372.092010,373.881989,360.546112,5080835
2015-04-10,373.699005,380.033997,368.648987,378.243988,364.752533,5009290
2015-04-13,375.627014,392.062012,374.617004,390.868988,376.927277,4228491
2015-04-15,390.226013,390.226013,375.673004,381.182007,367.585754,3812156
2015-04-16,382.100006,388.343994,380.539001,383.799011,370.109375,3366553
2015-04-17,385.588989,389.950012,370.851990,372.734009,359.439087,6051751
2015-04-20,370.760010,374.250000,366.123993,369.382996,356.207642,3575373
2015-04-21,365.114014,376.407013,361.761993,365.709991,352.665588,4236225
2015-04-22,364.516998,368.464996,359.191010,366.720001,353.639587,4573710
2015-04-23,368.924011,369.933990,364.516998,367.134003,354.038849,6256924
2015-04-24,367.270996,370.209991,362.635010,366.490997,353.418793,8062198
2015-04-27,366.307007,370.669006,352.717987,359.007996,346.202698,16515676
2015-04-28,357.170990,375.993988,352.029999,367.959991,354.835388,5650881
2015-04-29,361.761993,369.566986,352.489014,355.656006,342.970276,12250799
2015-04-30,355.747986,356.252991,341.378998,349.917999,337.436890,8956247
2015-05-04,343.031006,361.854004,343.031006,360.752014,347.884460,4932404
2015-05-05,359.925995,359.925995,351.203003,355.381012,342.705078,2660694
2015-05-06,361.119995,371.862000,354.416992,358.273010,345.493927,14798541
2015-05-07,357.997986,367.730011,353.820007,361.441010,348.548889,8620158
